d,u_*,threshold_type,p,rho_f,rho_s,sediment,nu,T,g,gamma,molecular_mass,fluid1,fluid1_proportion,fluid2,fluid2_proportion,flow_depth,tunnel,ref,reffull
m,m/s,word,Pa,kg/m^3,kg/m^3,word,m^2/s,K,m/s^2,unitless,g/mol,word,%,word,%,m,word,word,string
0.000165,0.065441564591033,no-motion-ramp-down,800000,9.44202886765122,1100,walnut shells,1.93694213680385E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.101941172032118,no-motion-ramp-down,300000,3.52598362186573,1100,walnut shells,5.18682601282045E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.103238672098575,no-motion-ramp-down,2000000,23.517377297648,1100,walnut shells,7.77665950552279E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.1176787861877,no-motion-ramp-down,1500000,17.6824290997227,1100,walnut shells,1.03428456958772E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.122090923700082,no-motion-ramp-down,1250000,14.778835140558,1100,walnut shells,1.2374901943714E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.157189641339792,no-motion-ramp-down,800000,9.44960842638716,1100,walnut shells,1.93538850981408E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.200470052023509,no-motion-ramp-down,300000,3.52191240206881,1100,walnut shells,5.1928218203068E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.264786531709125,no-motion-ramp-down,300000,3.52191240206881,1100,walnut shells,5.1928218203068E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.164548757238052,no-motion-ramp-down,800000,9.44635145054962,1100,walnut shells,1.9360558059279E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.137083814667799,no-motion-ramp-down,1250000,14.7045618494056,1100,walnut shells,1.24374080356644E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.104475271499352,no-motion-ramp-down,2000000,23.4745884466823,1100,walnut shells,7.79083459214247E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.102268360805575,no-motion-ramp-down,2000000,23.4381942091038,1100,walnut shells,7.80293200385226E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.119467653525127,no-motion-ramp-down,1500000,17.7101133943418,1100,walnut shells,1.03266778497958E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.113395370358658,no-motion-ramp-down,1500000,17.6259371361158,1100,walnut shells,1.03759950063582E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.126329388031665,no-motion-ramp-down,1250000,14.6550515401483,1100,walnut shells,1.24794263060551E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.160894181490403,no-motion-ramp-down,800000,9.45367964618408,1100,walnut shells,1.93455503625556E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.239445479988075,no-motion-ramp-down,300000,3.52191240206881,1100,walnut shells,5.1928218203068E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.053329861789603,no-motion-ramp-down,2000000,23.3514820819585,2500,silica,7.83190698837997E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.058206300016202,no-motion-ramp-down,1500000,17.5633555030916,2500,silica,1.04129666836458E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.06153135128025,no-motion-ramp-down,1250000,14.6793143652007,2500,silica,1.24587995840104E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.078312980288806,no-motion-ramp-down,800000,9.457750865981,2500,silica,1.93372228025749E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.114106671143503,no-motion-ramp-down,300000,3.53715974994004,2500,silica,5.17043754412903E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.05379646865934,no-motion-ramp-down,2000000,23.3514820819585,2500,silica,7.83190698837997E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.062452161083132,no-motion-ramp-down,1500000,17.4069381055021,2500,silica,1.05065367957454E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.064511529752431,no-motion-ramp-down,1250000,14.7706927009641,2500,silica,1.23817236882047E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.081416605467069,no-motion-ramp-down,800000,9.48992008661359,2500,silica,1.92716728947696E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.111716921336086,no-motion-ramp-down,300000,3.53715974994004,2500,silica,5.17043754412903E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.120155700554403,no-motion-ramp-down,300000,3.54614689840331,2500,silica,5.15733388791837E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.079137704201016,no-motion-ramp-down,800000,9.44553720659023,2500,silica,1.93622270186093E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.066050589138199,no-motion-ramp-down,1250000,14.7045618494056,2500,silica,1.24374080356644E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.059394634761438,no-motion-ramp-down,1500000,17.5827657631335,2500,silica,1.04014714277879E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0001625,0.053851956567232,no-motion-ramp-down,2000000,23.3353611445076,2500,silica,7.83731756171111E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.149981872004279,no-motion-ramp-down,2000000,23.3353611445076,2500,beach sand,7.83731756171111E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.176093779975186,no-motion-ramp-down,1500000,17.7019709547479,2500,beach sand,1.03314278491496E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.187871211609233,no-motion-ramp-down,1250000,14.7706927009641,2500,beach sand,1.23817236882047E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.0009165,0.237233401990875,no-motion-ramp-down,800000,9.48992008661359,2500,beach sand,1.92716728947696E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
